application_id,customer_id,name,mobile,loan_type,loan_amount,employment_type,application_status,created_timestamp
A001,C001,User1,9361515959,Home,468449,Self-Employed,Incomplete,15-01-2026
A002,C002,User2,9326986113,Home,1266900,Self-Employed,Incomplete,29-01-2026
A003,C003,User3,9746386997,Home,2352397,Self-Employed,Incomplete,09-01-2026
A004,C004,User4,9703416206,Personal,854182,Salaried,Incomplete,06-01-2026
A005,C005,User5,9524491039,Home,2357911,Self-Employed,Submitted,18-01-2026
A006,C006,User6,9299329812,Personal,267041,Salaried,Incomplete,26-01-2026
A007,C007,User7,9698491303,Personal,2150165,Salaried,Incomplete,01-01-2026
A008,C008,User8,9946869536,Car,1916496,Self-Employed,Incomplete,18-01-2026
A009,C009,User9,9913312536,Car,1490876,Self-Employed,Incomplete,07-01-2026
A010,C010,User10,9838087457,Home,1521238,Self-Employed,Submitted,08-01-2026
A011,C011,User11,9477814710,Home,1232798,Salaried,Submitted,09-01-2026
A012,C012,User12,9243632978,Personal,2547722,Salaried,Submitted,01-01-2026
A013,C013,User13,9622193560,Personal,2039766,Salaried,Incomplete,02-01-2026
A014,C014,User14,9262213711,Car,2407001,Salaried,Incomplete,26-01-2026
A015,C015,User15,9210743787,Car,1315048,Salaried,Submitted,19-01-2026
A016,C016,User16,9230568827,Personal,2776351,Salaried,Incomplete,12-01-2026
A017,C017,User17,9174024245,Car,2927724,Self-Employed,Submitted,26-01-2026
A018,C018,User18,9886099502,Car,2650744,Self-Employed,Incomplete,13-01-2026
A019,C019,User19,9523682048,Home,2272059,Salaried,Incomplete,18-01-2026
A020,C020,User20,9741549117,Car,2852701,Self-Employed,Submitted,15-01-2026
A021,C021,User21,9332640164,Car,938559,Salaried,Incomplete,04-01-2026
A022,C022,User22,9421058354,Personal,2076097,Salaried,Submitted,04-01-2026
A023,C023,User23,9948421552,Car,2439128,Self-Employed,Submitted,06-01-2026
A024,C024,User24,9365505951,Personal,2786084,Self-Employed,Submitted,11-01-2026
A025,C025,User25,9222605847,Car,236736,Self-Employed,Incomplete,30-01-2026
A026,C026,User26,9475839485,Home,2901620,Self-Employed,Submitted,23-01-2026
A027,C027,User27,9897972500,Personal,2645941,Self-Employed,Submitted,06-01-2026
A028,C028,User28,9829920164,Car,2511849,Salaried,Submitted,27-01-2026
A029,C029,User29,9235987403,Personal,819624,Salaried,Submitted,25-01-2026
A030,C030,User30,9681103058,Personal,1447381,Salaried,Submitted,05-01-2026
A031,C031,User31,9641026785,Personal,2493048,Self-Employed,Incomplete,16-01-2026
A032,C032,User32,9509037457,Car,2695876,Self-Employed,Submitted,10-01-2026
A033,C033,User33,9650299171,Home,1354099,Self-Employed,Incomplete,28-01-2026
A034,C034,User34,9369664722,Car,2207131,Self-Employed,Incomplete,05-01-2026
A035,C035,User35,9646000064,Car,553928,Salaried,Submitted,18-01-2026
A036,C036,User36,9677763733,Home,1626172,Salaried,Submitted,24-01-2026
A037,C037,User37,9598142198,Home,2042166,Self-Employed,Incomplete,01-01-2026
A038,C038,User38,9725019741,Personal,498471,Self-Employed,Submitted,07-01-2026
A039,C039,User39,9506120707,Car,176964,Self-Employed,Submitted,05-01-2026
A040,C040,User40,9929929217,Personal,2699445,Salaried,Incomplete,03-01-2026
A041,C041,User41,9635858359,Home,1283326,Salaried,Incomplete,28-01-2026
